year,month,industry,total_trips,passenger_count,trip_distance,trip_duration,avg_trip_distance,avg_trip_duration,fare_amount,total_amount,shared_requests
2021,1,FHV - High Volume,11507828,0,40319277.55989981,182400002.2719616,3.640480042724021,15.850080681772576,163194158.46,191768840.69,0
2021,1,FHV - Other,181335,0,600032.5930171091,3517329.819610024,3.6330162266946138,19.39686116640485,0.0,0.0,0
2021,1,Green Taxi,75094,47164,242119.4275369708,1280682.9566150524,3.459244307020385,17.054397909487474,1096283.27,1320948.9,3794
2021,1,Yellow Taxi,1338358,1752377,3168197.2885502228,15526936.315049574,2.4283384228818496,11.60148205117732,13452055.56,20120131.82,271651
2021,2,FHV - High Volume,11185277,0,38734308.77244967,188035648.36774245,3.600413334310843,16.810996130694168,176469778.8,207024499.21,0
2021,2,FHV - Other,137523,0,442152.7798621279,2795360.9595037787,3.5308102874150773,20.3264978185742,0.0,0.0,0
2021,2,Green Taxi,62996,40916,202414.12956621844,1167621.3883130387,3.4368644123646903,18.534849646216248,984885.18,1188397.65,3377
2021,2,Yellow Taxi,1333654,1743546,3123948.8828395857,16587812.565332385,2.3952438472045463,12.437868116717215,14083187.13,20950074.03,272263
2021,3,FHV - High Volume,13769766,0,49682565.83370377,236244525.3896592,3.745414372263033,17.156756722638505,223363682.01,262411021.64,0
2021,3,FHV - Other,193199,0,653411.5733378333,4045732.972667141,3.669676414506777,20.94075524545749,0.0,0.0,0
2021,3,Green Taxi,80763,52698,270408.29133029457,1495776.359258922,3.558565712089995,18.520564605808627,1306778.67,1564729.76,4837
2021,3,Yellow Taxi,1857272,2430573,4457203.7019397095,22906609.114933915,2.4495150390380607,12.333470334411931,19716586.17,29419100.91,386995
2021,4,FHV - High Volume,13585654,0,49406632.71423339,239727660.73784515,3.7675114454621,17.645647440884712,237265703.45,279270077.54,0
2021,4,FHV - Other,203904,0,728294.7461177543,4480338.977800527,3.902094630992779,21.97278610424772,0.0,0.0,0
2021,4,Green Taxi,83540,55195,284014.9352373844,1626677.3289937864,3.613007864715038,19.47183779020573,1415647.77,1689500.83,5062
2021,4,Yellow Taxi,2081545,2755575,5116603.990452023,27078270.801609967,2.510034040624797,13.008736684342624,22979432.76,34160566.77,448228
2021,5,FHV - High Volume,14331591,0,53570607.04580909,260526583.1914387,3.8558987741813535,18.17848298848597,266997251.99,315116535.63,0
2021,5,FHV - Other,205858,0,741128.796574875,4505288.821245459,3.862198186358413,21.885420150032832,0.0,0.0,0
2021,5,Green Taxi,86043,61485,295597.89416613,1690242.3870733962,3.631468373888254,19.644159165456763,1480864.61,1772010.0,5613
2021,5,Yellow Taxi,2449839,3302895,6178247.346619368,32860378.2934265,2.567713499289883,13.4132807476028,27499312.36,41002488.01,559338
